created_at,word
2020-02-22T01:45:04Z,michaelbloomberg
2020-02-22T01:45:04Z,paying
2020-02-22T01:45:04Z,people
2020-02-22T01:45:04Z,2500
2020-02-22T01:45:04Z,month
2020-02-22T01:45:04Z,nice
2020-02-22T01:45:04Z,social
2020-02-22T01:45:04Z,media
2020-02-22T01:45:04Z,pays
2020-02-22T01:45:04Z,people
2020-02-22T01:45:04Z,sex
2020-02-22T23:26:07Z,michaelbloomberg
2020-02-22T23:26:07Z,win
2020-02-21T05:25:16Z,agree
2020-02-21T05:25:16Z,petebuttigieg
2020-02-21T05:25:16Z,calling
2020-02-21T05:25:16Z,michaelbloomberg
2020-02-21T05:25:16Z,berniesanders
2020-02-21T05:25:16Z,political
2020-02-21T05:25:16Z,polarization
2020-02-19T23:20:22Z,michaelbloomberg
2020-02-19T23:20:22Z,retracted
2020-02-19T23:20:22Z,statement
2020-02-19T23:20:22Z,government
2020-02-19T23:20:22Z,survives
2020-02-19T23:20:22Z,majority
2020-02-19T23:20:22Z,people
2020-02-19T23:20:22Z,disqualifies
2020-02-19T23:20:22Z,valid
2020-02-19T23:20:22Z,candidate
2020-02-19T23:20:22Z,potus
2020-02-19T23:20:22Z,trump
2020-02-19T23:20:22Z,stupid
2020-02-19T23:20:22Z,bloomberg's
2020-02-19T23:20:22Z,stupid
2020-02-19T23:20:22Z,hall
2020-02-19T23:20:22Z,fame
2020-02-21T15:39:15Z,hey
2020-02-21T15:39:15Z,ladies
2020-02-21T15:39:15Z,theview
2020-02-21T15:39:15Z,spin
2020-02-21T15:39:15Z,michaelbloomberg
2020-02-21T15:39:15Z,built
2020-02-21T15:39:15Z,company
2020-02-21T15:39:15Z,crawled
2020-02-21T15:39:15Z,fr
2020-02-21T15:39:15Z,gutter
2020-02-21T15:39:15Z,mud
2020-02-21T15:39:15Z,pack
2020-02-21T15:39:15Z,mud
2020-02-21T15:39:15Z,pack
2020-02-21T15:39:15Z,received
2020-02-21T15:39:15Z,tenmilliondollar
2020-02-21T15:39:15Z,severance
2020-02-21T15:39:15Z,payout
2020-02-21T15:39:15Z,salomonbrothers
2020-02-21T15:39:15Z,whoopi
2020-02-21T15:39:15Z,abt
2020-02-21T15:39:15Z,3.7b
2020-02-21T15:39:15Z,michaelmilken
2020-02-20T14:37:33Z,firmly
2020-02-20T14:37:33Z,hoping
2020-02-20T14:37:33Z,jesus
2020-02-20T14:37:33Z,praying
2020-02-20T14:37:33Z,happen
2020-02-20T14:37:33Z,tip
2020-02-20T14:37:33Z,televangelist
2020-02-20T14:37:33Z,patrobertson
2020-02-20T14:37:33Z,genuflecting
2020-02-20T14:37:33Z,jesus
2020-02-20T14:37:33Z,budda
2020-02-20T14:37:33Z,michaelbloomberg
2020-02-20T14:37:33Z,finishes
2020-02-20T14:37:33Z,dead
2020-02-20T14:37:33Z,supertuesday
2020-02-17T16:30:55Z,theview
2020-02-17T16:30:55Z,catch
2020-02-17T16:30:55Z,hand
2020-02-17T16:30:55Z,support
2020-02-17T16:30:55Z,thrown
2020-02-17T16:30:55Z,michaelbloomberg's
2020-02-17T16:30:55Z,donated
2020-02-17T16:30:55Z,civil
2020-02-17T16:30:55Z,organization
2020-02-17T16:30:55Z,nice
2020-02-17T16:30:55Z,resources
2020-02-17T16:30:55Z,bloomberg
2020-02-17T16:30:55Z,whip
2020-02-17T16:30:55Z,pen
2020-02-17T16:30:55Z,build
2020-02-17T16:30:55Z,reputable
2020-02-17T16:30:55Z,character
2020-02-17T16:30:55Z,mikebloomberg
2020-02-17T16:30:55Z,ladies
2020-02-17T16:30:55Z,1stname
2020-02-17T16:30:55Z,basis
2020-02-21T17:34:57Z,theanswerman
2020-02-21T17:34:57Z,bloombergisanoligarch
2020-02-21T17:34:57Z,bloomy
2020-02-21T17:34:57Z,michaelbloomberg
2020-02-21T17:34:57Z,bloombergisracist
2020-02-21T17:34:57Z,aka
2020-02-21T17:34:57Z,bloombergbombed
2020-02-21T17:34:57Z,bloombergclinton
2020-02-21T17:34:57Z,odg
2020-02-21T17:34:57Z,damn
2020-02-21T17:34:57Z,dear
2020-02-21T17:34:57Z,god
2020-02-21T17:34:57Z,theanswerman
2020-02-21T17:34:57Z,drink
2020-02-21T17:34:57Z,double
2020-02-21T17:34:57Z,jack
2020-02-21T01:19:46Z,michaelbloomberg
2020-02-21T01:19:46Z,fraud
2020-02-21T01:19:46Z,saturation
2020-02-21T01:19:46Z,tv
2020-02-21T01:19:46Z,ads
2020-02-21T01:19:46Z,content
2020-02-21T01:19:46Z,direct
2020-02-21T01:19:46Z,madison
2020-02-21T01:19:46Z,avenue
2020-02-21T01:19:46Z,fraudulent
2020-02-21T01:19:46Z,mikebloomberg
2020-02-21T01:19:46Z,fucking
